Designator,Mid X,Mid Y,Layer,Rotation
C1,36.37, 4.21,Bottom,0.0
C2,31.48,13.73,Bottom,180.0
C3,18.12, 9.85,Bottom,180.0
C5,11.50,28.33,Bottom,270.0
C6,26.53,17.77,Bottom,180.0
IC1, 9.01, 9.06,Bottom,90.0
IC3,58.49,31.10,Bottom,180.0
J1,63.46,10.59,Bottom,90.0
L1,27.74,33.90,Bottom,0.0
L2,40.56,34.07,Bottom,180.0
Q1,36.40,16.40,Bottom,90.0
Q2,41.00,16.40,Bottom,90.0
Q5,11.80,34.00,Bottom,180.0
R1,30.57,26.29,Bottom,0.0
R2,31.57,21.64,Bottom,0.0
R3,21.93,14.68,Bottom,270.0
R4,18.08, 6.95,Bottom,180.0
R5,30.76,11.08,Bottom,0.0
R6,31.16,18.23,Bottom,0.0
R7,26.96, 8.38,Bottom,0.0
R8,22.76, 8.73,Bottom,0.0
R9,31.85, 6.93,Bottom,90.0
R10,18.13,12.60,Bottom,180.0
R11,14.26,11.27,Bottom,90.0
R12,22.50,25.80,Bottom,270.0
R13,20.60,34.00,Bottom,270.0
R14,38.80,22.20,Bottom,180.0
R15,26.60,14.80,Bottom,0.0
R16,43.41, 4.57,Bottom,0.0
R17,51.05,31.19,Bottom,270.0
R18,36.40, 9.20,Bottom,0.0
R19,15.20,23.40,Bottom,90.0
R20,25.40, 3.60,Bottom,0.0
